run_id,candidate_hash,overrides_hash,status,fold_index,seed,macro_f1,val_loss,best_val_macro_f1,overfit_gap,generalization_ratio,selection_score_proxy,best_epoch,stop_epoch,early_stopped,elapsed_sec,optimizer.lr,optimizer.weight_decay,augmentation.mix,train.label_smoothing,train.class_weight_mode,scheduler.name,preprocess.target_size,model.backbone,train.batch_size,train.grad_accum_steps,trial_dir
run_id=49,5d90d19a5b,c4874789b7,completed,1,42,0.901882466272683,0.32293661311268806,0.9664187829180657,0.06453631664538273,0.9332211689320465,,9.0,10.0,False,228.75220409303438,0.00013,0.01,none,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=49
run_id=5,f851b4d859,fdca7b6267,completed,1,42,0.9618726142366879,0.10352833662182093,0.9610799951279112,-0.0007926191087767043,1.000824717102421,,6.0,8.0,True,182.95310902397614,0.0001,0.005,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=5
run_id=50,28273742dd,d2c83069a6,completed,0,42,0.9229123161183104,0.22360610030591488,0.9510656258065057,0.028153309688195294,0.9703981419112679,,5.0,7.0,True,161.5272337620263,0.00013,0.01,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=50
run_id=51,28273742dd,7905b1f151,completed,1,42,0.9747780083693397,0.09193108310656888,0.9755733247990707,0.0007953164297309634,0.9991847702171492,,9.0,10.0,False,233.41417724697385,0.00013,0.01,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=51
run_id=52,77c7657dac,5eedc1ff1b,completed,0,42,0.9203187688693523,0.20236045414847986,0.9376409348752458,0.017322166005893536,0.9815258001633661,,7.0,9.0,True,209.09533731400734,0.00013,0.01,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=52
run_id=53,77c7657dac,41bb18835b,completed,1,42,0.9410375944513847,0.16459370697183268,0.9689038253639028,0.027866230912518164,0.9712394252318571,,5.0,7.0,True,162.7524208300165,0.00013,0.01,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=53
run_id=54,100c8e1d42,8bf9aeaea3,completed,0,42,0.9499107520776744,0.16355565522930451,0.9618084465184938,0.01189769444081945,0.9876298711205063,,8.0,10.0,True,231.64075202896493,0.00013,0.01,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=54
run_id=55,100c8e1d42,282fa6930f,completed,1,42,0.9819127150547523,0.08621288922482304,0.9728273247890488,-0.009085390265703541,1.0093391602334707,,9.0,10.0,False,231.76726485503605,0.00013,0.01,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=55
run_id=56,281676ce9e,12aa5050a2,completed,0,42,0.8757090923942692,0.4780676620347159,0.9584814154303823,0.08277232303611315,0.9136422243524187,,9.0,10.0,False,234.9098969810293,0.00013,0.01,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=56
run_id=57,281676ce9e,cef0262f15,completed,1,42,0.9245945548490913,0.38348203152418137,0.978959188428342,0.0543646335792507,0.9444669050335697,,9.0,10.0,False,236.69856734300265,0.00013,0.01,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=57
run_id=58,656c747f66,71f819a409,completed,0,42,0.9396136938041901,0.3193972355553082,0.9400963259598264,0.0004826321556362645,0.9994866141454776,,5.0,7.0,True,162.62302661401918,0.00013,0.01,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=58
run_id=59,656c747f66,02a1039b82,completed,1,42,0.931597445533887,0.28914957280669895,0.953487969023108,0.021890523489220937,0.9770416363914389,,8.0,10.0,True,233.11245052801678,0.00013,0.01,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=59
run_id=6,a7e0ca194d,8c63a78b78,completed,0,42,0.8993595391961716,0.2716226540505886,0.9291638349820031,0.029804295785831436,0.9679235300990716,,3.0,5.0,True,115.01552812202135,0.0001,0.005,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=6
run_id=60,3d544fbccb,95c987f15b,completed,0,42,0.9175763952139887,0.36924415294613155,0.9643920970765019,0.04681570186251316,0.9514557387970803,,9.0,10.0,False,232.74280983197968,0.00013,0.01,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=60
run_id=61,3d544fbccb,a27d085a9b,completed,1,42,0.8331895431252374,0.6689717663185937,0.9715849550725018,0.13839541194726435,0.8575570656742653,,6.0,8.0,True,186.21624322101707,0.00013,0.01,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=61
run_id=62,28ed79c341,28526e159f,completed,0,42,0.9135806934750095,0.38189883317266193,0.944061034279482,0.030480340804472483,0.9677135908614898,,6.0,8.0,True,187.83743837301154,0.00013,0.01,mixup,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=62
